,Scheme,Category,Type,Benchmark,Rating,Net_Asset_Value(Rs.),CAGR% 6 Months,CAGR% 1 Year,CAGR% 3 Year,Min. Invest(Rs.),Exp. Ratio(%),SIP Min. Inv.(Rs.)
1388,Union Dynamic Bond(IDCW-Payout), Debt - Dynamic Bond, Open ended, CRISIL Dynamic Debt Index,0,13.03,4.28,1.88,3.59,1000.0,1.5,"1,000.00"
1389,HDFC Dynamic PE Ratio FOF-Reg(G), FoFs (Domestic) - Debt Oriented, Open ended, NIFTY 50 Hybrid Composite Debt 65:35 Index,0,28.59,8.13,14.05,9.46,1000.0,1,"1,000.00"
1390,HDFC Dynamic PE Ratio FOF-Reg(IDCW), FoFs (Domestic) - Debt Oriented, Open ended, NIFTY 50 Hybrid Composite Debt 65:35 Index,0,25.05,8.13,14.05,9.46,1000.0,1,"1,000.00"
1391,Franklin India Feeder - Franklin U.S. Opportunities Fund(G), FoFs (Overseas), Open ended, Russell 3000 Growth Index,0,44.89,-12.94,6.08,12.08,5000.0,1.55,"1,000.00"
1392,Franklin India Feeder - Franklin U.S. Opportunities Fund(IDCW), FoFs (Overseas), Open ended, Russell 3000 Growth Index,0,44.89,-12.94,6.08,12.08,5000.0,1.55,"1,000.00"
1393,Aditya Birla SL Gold Fund(G), FoFs (Domestic / Overseas ) - Gold, Open ended, Gold-India,0,17.07,13.30,9.89,11.55,1000.0,0.51,"1,000.00"
1394,Aditya Birla SL Gold Fund(IDCW), FoFs (Domestic / Overseas ) - Gold, Open ended, Gold-India,0,17.07,13.30,9.90,11.56,1000.0,0.51,"1,000.00"
1395,IDBI India Top 100 Equity Fund(G), Equity - Large Cap Fund, Open ended, NIFTY 100 - TRI,0,40.39,2.65,15.21,11.05,5000.0,2.46,"1,000.00"
1396,IDBI India Top 100 Equity Fund(IDCW), Equity - Large Cap Fund, Open ended, NIFTY 100 - TRI,0,23.97,2.66,15.22,10.83,5000.0,2.46,"1,000.00"
1397,ICICI Pru Global Stable Equity Fund(FOF)(G), FoFs (Overseas), Open ended, MSCI World,0,22.38,6.59,9.32,10.19,5000.0,1.55,"1,000.00"
1398,ICICI Pru Global Stable Equity Fund(FOF)(IDCW), FoFs (Overseas), Open ended, MSCI World,0,22.38,6.59,9.32,10.19,5000.0,1.55,"1,000.00"
1399,Baroda BNP Paribas Banking and Fin Serv Fund-Reg(G), Equity - Sectoral Fund - Banks & Financial Services, Open ended, NIFTY BANK - TRI,0,30.83,5.40,6.13,8.35,5000.0,2.66,"1,000.00"
1400,Baroda BNP Paribas Banking and Fin Serv Fund-Reg(IDCW), Equity - Sectoral Fund - Banks & Financial Services, Open ended, NIFTY BANK - TRI,0,18.07,5.38,6.14,8.09,5000.0,2.66,"1,000.00"
1401,ICICI Pru US Bluechip Equity Fund(IDCW), Equity - Thematic Fund - Global, Open ended, S&P 500 ,0,48.69,7.85,14.40,16.27,5000.0,2.21,"1,000.00"
1402,Nippon India Retirement Fund-Wealth Creation(G), Solution Oriented - Retirement Fund, Open ended, S&P BSE 500 - TRI,0,17.81,2.63,10.00,5.50,1000.0,1.98,"1,000.00"
1403,Nippon India Retirement Fund-Wealth Creation(IDCW), Solution Oriented - Retirement Fund, Open ended, S&P BSE 500 - TRI,0,15.37,2.63,9.60,5.27,1000.0,1.98,"1,000.00"
1404,Nippon India Retirement Fund-Income Generation(G), Solution Oriented - Retirement Fund, Open ended, CRISIL Hybrid 85+15 - Conservative Index,0,16.07,2.59,4.99,6.13,1000.0,2.12,"1,000.00"
1405,Nippon India Retirement Fund-Income Generation(IDCW), Solution Oriented - Retirement Fund, Open ended, CRISIL Hybrid 85+15 - Conservative Index,0,16.07,2.59,4.99,6.14,1000.0,2.12,"1,000.00"
1406,Baroda BNP Paribas India Consumption Fund-Reg(G), Equity - Sectoral Fund - Consumption, Open ended, Nifty India Consumption - TRI,0,20.1,5.71,13.47,-,5000.0,2.28,"1,000.00"
1407,Baroda BNP Paribas India Consumption Fund-Reg(IDCW), Equity - Sectoral Fund - Consumption, Open ended, Nifty India Consumption - TRI,0,17.71,5.71,13.48,-,5000.0,2.28,"1,000.00"
1408,DSP US Flexible Equity Fund-Reg(G), FoFs (Overseas), Open ended, Russell 1000 Index,0,43.05,5.35,14.60,14.19,1000.0,2.39,"1,000.00"
1409,DSP US Flexible Equity Fund-Reg(IDCW), FoFs (Overseas), Open ended, Russell 1000 Index,0,23.9,5.35,14.60,12.94,1000.0,2.39,"1,000.00"
1410,IDBI Gold Fund(G), FoFs (Domestic / Overseas ) - Gold, Open ended, Gold-India,0,15.21,12.08,10.01,11.28,5000.0,0.67,"1,000.00"
1411,Invesco India Banking & PSU Debt Fund(G), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index,0,1894.49,4.67,1.37,4.09,1000.0,0.7,"1,000.00"
1412,Invesco India Banking & PSU Debt Fund(DD-IDCW), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index,0,1010.22,4.74,1.44,4.15,1000.0,0.7,"1,000.00"
1413,IIFL Dynamic Bond Fund-Reg(G), Debt - Dynamic Bond, Open ended, CRISIL Dynamic Debt Index,0,18.44,3.70,2.92,5.40,10000.0,0.52,"1,000.00"
1414,IIFL Dynamic Bond Fund-Reg(M-IDCW), Debt - Dynamic Bond, Open ended, CRISIL Dynamic Debt Index,0,11.84,3.70,2.92,5.32,10000.0,0.52,"1,000.00"
1415,IIFL Dynamic Bond Fund-Reg(Q-IDCW), Debt - Dynamic Bond, Open ended, CRISIL Dynamic Debt Index,0,17.79,3.70,2.92,5.40,10000.0,0.52,"1,000.00"
1416,Motilal Oswal Gold and Silver ETFs FoF-Reg(G), FoFs (Domestic / Overseas ) - Gold, Open ended, Gold-India,0,11.12,-,-,-,1000.0,0.51,"1,000.00"
1417,HSBC Asia Pacific (Ex Japan) DYF-Reg(G), FoFs (Overseas), Open ended, MSCI Asia (ex-Japan) Standard Index,0,18.26,-6.98,5.88,5.86,5000.0,2.06,"1,000.00"
1418,HSBC Asia Pacific (Ex Japan) DYF-Reg(IDCW-Payout), FoFs (Overseas), Open ended, MSCI Asia (ex-Japan) Standard Index,0,18.26,-6.98,5.88,5.86,5000.0,2.06,"1,000.00"
1419,Invesco India Banking & PSU Debt Fund(M-IDCW), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index,0,1031.6,4.67,1.37,3.98,1000.0,0.7,"1,000.00"
1420,SBI Consumption Opp Fund-Reg(G), Equity - Sectoral Fund - Consumption, Open ended, Nifty India Consumption - TRI,0,205.69,14.71,19.13,11.62,5000.0,2.22,"1,000.00"
1421,Nippon India US Equity Opp Fund(G), Equity - Thematic Fund - Global, Open ended, S&P 500 - TRI,0,22.87,-5.53,7.81,12.96,1000.0,2.45,"1,000.00"
1422,SBI Technology Opp Fund-Reg(G), Equity - Sectoral Fund - Technology, Open ended, S&P BSE TECk Index - TRI,0,150.22,0.29,27.50,21.94,5000.0,1.97,"1,000.00"
1423,Quantum Long Term Equity Value Fund-Reg(IDCW), Equity - Value Fund, Open ended, S&P BSE 500 - TRI,0,80.62,7.06,15.18,8.47,1000.0,1.79,"1,000.00"
1424,Quantum Long Term Equity Value Fund-Reg(G), Equity - Value Fund, Open ended, S&P BSE 500 - TRI,0,80.16,7.06,15.20,8.50,1000.0,1.79,"1,000.00"
1425,Quantum Tax Saving Fund-Reg(G), Equity - ELSS, Open ended, S&P BSE 500 - TRI,0,79.97,7.47,15.45,8.61,1000.0,1.79,"1,000.00"
1426,Quantum Tax Saving Fund-Reg(IDCW), Equity - ELSS, Open ended, S&P BSE 500 - TRI,0,79.97,7.47,15.45,8.61,1000.0,1.79,"1,000.00"
1427,Quantum Equity FoF-Reg(G), FoFs (Domestic) - Equity Oriented, Open ended, S&P BSE 200 - TRI,0,53.66,0.93,12.62,8.96,1000.0,0.75,"1,000.00"
1428,Quantum Equity FoF-Reg(IDCW), FoFs (Domestic) - Equity Oriented, Open ended, S&P BSE 200 - TRI,0,53.66,0.93,12.62,8.96,1000.0,0.75,"1,000.00"
1429,LIC MF Banking & Financial Services Fund-Reg(G), Equity - Sectoral Fund - Banks & Financial Services, Open ended, Nifty Financial Services - TRI,0,15.34,10.90,8.36,5.88,5000.0,2.61,"1,000.00"
1430,Quantum Gold Saving Fund-Reg(G), FoFs (Domestic / Overseas ) - Gold, Open ended, Gold-India,0,22.09,12.64,10.09,11.65,1000.0,0.21,"1,000.00"
1431,Quantum Multi Asset FOFs-Reg(G), FoFs (Domestic) - Debt Oriented, Open ended, N/A,0,25.0,6.49,8.91,7.77,1000.0,0.47,"1,000.00"
1432,PGIM India Banking & PSU Debt Fund(G), Debt - Banking and PSU Fund, Open ended, CRISIL Banking and PSU Debt Index,0,20.43,4.34,3.36,4.98,5000.0,0.41,"1,000.00"
1433,Aditya Birla SL MNC Fund-Reg(IDCW), Equity - Thematic Fund - MNC, Open ended, NIFTY MNC - TRI,0,156.34,-2.32,3.17,3.47,1000.0,2.06,"1,000.00"
1434,Axis Money Market Fund-Reg(G), Debt - Money Market Fund, Open ended, Nifty Money Market Index,0,1199.57,6.05,5.12,4.92,5000.0,0.36,"1,000.00"
1435,Motilal Oswal Focused Fund-Reg(G), Equity - Focused Fund, Open ended, NIFTY 500 - TRI,0,32.44,3.42,9.40,8.82,1000.0,2.18,"1,000.00"
