,Scheme,Category,Type,Benchmark,Rating,Net_Asset_Value(Rs.),CAGR% 6 Months,CAGR% 1 Year,CAGR% 3 Year,Min. Invest(Rs.),Exp. Ratio(%),SIP Min. Inv.(Rs.)
529,Nippon India Low Duration Fund(Q-IDCW), Debt - Low Duration Fund, Open ended, CRISIL Low Duration Debt Index,3,1020.48,5.30,4.34,4.92,1000.0,1.03,"1,000.00"
530,Kotak Dynamic Bond Fund-Reg(G), Debt - Dynamic Bond, Open ended, NIFTY Composite Debt Index,3,30.93,3.54,2.06,4.84,5000.0,1.33,"1,000.00"
531,Mirae Asset Savings Fund-Reg Savings Plan(M-IDCW), Debt - Low Duration Fund, Open ended, NIFTY Low Duration Debt Index,3,1090.99,5.25,4.30,4.38,5000.0,0.93,"1,000.00"
532,Nippon India Corp Bond Fund(DD-IDCW), Debt - Corporate Bond Fund, Open ended, NIFTY Corporate Bond Index,3,17.09,5.90,4.50,5.74,5000.0,0.68,"1,000.00"
533,Nippon India Corp Bond Fund(W-IDCW), Debt - Corporate Bond Fund, Open ended, NIFTY Corporate Bond Index,3,17.09,5.79,4.37,5.69,5000.0,0.68,"1,000.00"
534,IDFC Tax Advt(ELSS) Fund-Reg(G), Equity - ELSS, Open ended, S&P BSE 500 - TRI,3,101.36,4.15,21.04,11.54,1000.0,2.02,"1,000.00"
535,IDFC Tax Advt(ELSS) Fund-Reg(IDCW), Equity - ELSS, Open ended, S&P BSE 500 - TRI,3,26.76,4.17,21.05,11.39,1000.0,2.02,"1,000.00"
536,IDFC G-Sec-Invest-Reg(G), Debt - Gilt Fund, Open ended, CRISIL Dynamic Gilt Index,3,29.12,3.83,1.34,4.80,1000.0,1.24,"1,000.00"
537,IDFC G-Sec-Invest-Reg(IDCW), Debt - Gilt Fund, Open ended, CRISIL Dynamic Gilt Index,3,10.97,3.83,1.34,2.59,1000.0,1.24,"1,000.00"
538,Aditya Birla SL Income Fund(DAP), Debt - Medium to Long Duration Fund, Open ended, CRISIL Medium to Long Term Debt Index,3,26.51,4.79,2.44,5.50,1000.0,1.69,"1,000.00"
539,ICICI Pru Focused Equity Fund(G), Equity - Focused Fund, Open ended, S&P BSE 500 - TRI,3,51.86,5.88,21.29,12.05,5000.0,1.95,"1,000.00"
540,ICICI Pru Focused Equity Fund(IDCW), Equity - Focused Fund, Open ended, S&P BSE 500 - TRI,3,19.8,5.86,21.28,11.68,5000.0,1.95,"1,000.00"
541,Nippon India Value Fund(IDCW), Equity - Value Fund, Open ended, NIFTY 500 - TRI,3,31.73,2.88,17.52,10.57,1000.0,1.94,"1,000.00"
542,ICICI Pru All Seasons Bond Fund(IDCW), Debt - Dynamic Bond, Open ended, NIFTY Composite Bond Index,3,19.01,6.66,4.96,6.14,5000.0,1.33,"1,000.00"
543,Kotak Flexicap Fund(G), Equity - Flexi Cap Fund, Open ended, NIFTY 500 - TRI,3,54.52,3.84,12.54,10.57,5000.0,1.59,"1,000.00"
544,Kotak Flexicap Fund(IDCW), Equity - Flexi Cap Fund, Open ended, NIFTY 500 - TRI,3,32.92,3.84,12.54,10.26,5000.0,1.59,"1,000.00"
545,SBI Small Cap Fund-Reg(G), Equity - Small cap Fund, Open ended, S&P BSE 250 Small Cap - TRI,3,111.74,9.65,24.58,13.03,5000.0,1.83,"1,000.00"
546,SBI Small Cap Fund-Reg(IDCW-Payout), Equity - Small cap Fund, Open ended, S&P BSE 250 Small Cap - TRI,3,66.01,9.65,24.58,13.03,5000.0,1.83,"1,000.00"
547,Aditya Birla SL Arbitrage Fund(G), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,3,22.49,4.42,4.03,4.85,1000.0,1.05,"1,000.00"
548,Aditya Birla SL Arbitrage Fund(IDCW), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,3,11.2,4.06,3.93,4.53,1000.0,1.05,"1,000.00"
549,UTI Money Market Fund-Reg(G), Debt - Money Market Fund, Open ended, CRISIL Money Market Index,3,2582.92,6.19,5.25,4.91,1000.0,0.27,"1,000.00"
550,UTI Money Market Fund-Reg(DD-IDCW), Debt - Money Market Fund, Open ended, CRISIL Money Market Index,3,1088.6,6.19,5.25,4.83,20000.0,0.27,"1,000.00"
551,HSBC Value Fund-Reg(G), Equity - Value Fund, Open ended, NIFTY 500 - TRI,3,61.45,6.54,18.17,9.94,5000.0,1.84,"1,000.00"
552,HSBC Value Fund-Reg(IDCW), Equity - Value Fund, Open ended, NIFTY 500 - TRI,3,35.34,6.61,18.19,9.78,5000.0,1.84,"1,000.00"
553,Axis Short Term Fund-Reg(G), Debt - Short Duration Fund, Open ended, Nifty Short Duration Debt Index,3,25.77,5.07,3.84,5.36,5000.0,0.99,"1,000.00"
554,Axis Short Term Fund-Reg(M-IDCW), Debt - Short Duration Fund, Open ended, Nifty Short Duration Debt Index,3,10.22,5.07,3.84,5.29,5000.0,0.99,"1,000.00"
555,ICICI Pru All Seasons Bond Fund(G), Debt - Dynamic Bond, Open ended, NIFTY Composite Bond Index,3,30.57,6.66,4.96,6.14,5000.0,1.33,"1,000.00"
556,Canara Rob Conservative Hybrid Fund-Reg(Q-IDCW), Hybrid - Conservative Hybrid Fund, Open ended, CRISIL Hybrid 85+15 - Conservative Index,3,13.42,2.86,6.80,6.19,5000.0,1.83,"1,000.00"
557,UTI Money Market Fund-Reg(W-IDCW), Debt - Money Market Fund, Open ended, CRISIL Money Market Index,3,1134.17,6.19,5.25,4.91,20000.0,0.27,"1,000.00"
558,IDFC Nifty 50 Index Fund-Reg(G), Index Funds - Nifty, Open ended, NIFTY 50 - TRI,3,38.3,4.70,15.02,12.21,1000.0,0.6,"1,000.00"
559,IDFC Nifty 50 Index Fund-Reg(IDCW), Index Funds - Nifty, Open ended, NIFTY 50 - TRI,3,34.75,4.70,14.59,11.95,1000.0,0.6,"1,000.00"
560,IDFC G-Sec-Invest-Reg(A-IDCW), Debt - Gilt Fund, Open ended, CRISIL Dynamic Gilt Index,3,10.94,3.83,1.34,3.59,1000.0,1.24,"1,000.00"
561,IDFC G-Sec-Invest-Reg(Q-IDCW), Debt - Gilt Fund, Open ended, CRISIL Dynamic Gilt Index,3,11.55,3.83,1.34,4.54,1000.0,1.24,"1,000.00"
562,Mirae Asset Savings Fund-Reg Savings Plan(Q-IDCW), Debt - Low Duration Fund, Open ended, NIFTY Low Duration Debt Index,3,1004.98,5.25,4.30,4.98,5000.0,0.93,"1,000.00"
563,Canara Rob Short Duration Fund-Reg(G), Debt - Short Duration Fund, Open ended, N/A,3,21.54,4.34,3.07,4.55,5000.0,1.03,"1,000.00"
564,Canara Rob Short Duration Fund-Reg(M-IDCW), Debt - Short Duration Fund, Open ended, N/A,3,14.93,4.33,3.07,4.49,5000.0,1.03,"1,000.00"
565,Canara Rob Short Duration Fund-Reg(Q-IDCW), Debt - Short Duration Fund, Open ended, N/A,3,14.8,4.34,3.07,4.13,5000.0,1.03,"1,000.00"
566,ICICI Pru Credit Risk Fund(G), Debt - Credit Risk Fund, Open ended, CRISIL Short Term Credit Risk Fund,3,26.2,5.10,4.59,6.49,1000.0,1.55,"1,000.00"
567,ICICI Pru Credit Risk Fund(Q-IDCW), Debt - Credit Risk Fund, Open ended, CRISIL Short Term Credit Risk Fund,3,10.91,5.10,4.59,6.46,1000.0,1.55,"1,000.00"
568,DSP Small Cap Fund-Reg(IDCW), Equity - Small cap Fund, Open ended, S&P BSE 250 Small Cap - TRI,3,43.15,2.85,24.38,10.17,1000.0,1.83,"1,000.00"
569,Nippon India Index Fund-Nifty 50 Plan(G), Index Funds - Nifty, Open ended, NIFTY 50 - TRI,3,30.11,4.16,14.05,11.37,1000.0,0.59,"1,000.00"
570,Nippon India Index Fund-Nifty 50 Plan(Q-IDCW), Index Funds - Nifty, Open ended, NIFTY 50 - TRI,3,23.74,4.16,13.68,10.91,1000.0,0.59,"1,000.00"
571,Nippon India Index Fund-Nifty 50 Plan(H-IDCW), Index Funds - Nifty, Open ended, NIFTY 50 - TRI,3,23.74,4.16,13.68,10.91,1000.0,0.59,"1,000.00"
572,Nippon India Index Fund-Nifty 50 Plan(A-IDCW), Index Funds - Nifty, Open ended, NIFTY 50 - TRI,3,23.66,4.16,13.68,10.84,1000.0,0.59,"1,000.00"
573,Nippon India Arbitrage Fund(G), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,3,22.53,4.44,4.12,4.98,5000.0,1.15,"1,000.00"
574,Nippon India Arbitrage Fund(IDCW), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,3,13.5,4.44,4.15,4.80,5000.0,1.15,"1,000.00"
575,ICICI Pru All Seasons Bond Fund(Q-IDCW), Debt - Dynamic Bond, Open ended, NIFTY Composite Bond Index,3,11.49,6.66,4.96,6.14,5000.0,1.33,"1,000.00"
576,Invesco India Ultra Short Term Fund(G), Debt - Ultra Short Duration Fund, Open ended, NIFTY Ultra Short Duration Debt Index,3,2285.44,5.35,4.42,4.07,1000.0,0.89,"1,000.00"
577,Invesco India Ultra Short Term Fund(M-IDCW), Debt - Ultra Short Duration Fund, Open ended, NIFTY Ultra Short Duration Debt Index,3,1013.86,5.35,4.42,3.99,1000.0,0.89,"1,000.00"
578,Invesco India Ultra Short Term Fund(Q-IDCW), Debt - Ultra Short Duration Fund, Open ended, NIFTY Ultra Short Duration Debt Index,3,1169.23,5.35,4.43,3.99,1000.0,0.89,"1,000.00"
579,Invesco India Ultra Short Term Fund(A-IDCW), Debt - Ultra Short Duration Fund, Open ended, NIFTY Ultra Short Duration Debt Index,3,1115.08,5.35,4.42,3.32,1000.0,0.89,"1,000.00"
580,Union Flexi Cap Fund-Reg(G), Equity - Flexi Cap Fund, Open ended, S&P BSE 500 - TRI,3,33.36,0.85,16.10,11.96,1000.0,2.25,"1,000.00"
581,Union Flexi Cap Fund-Reg(IDCW), Equity - Flexi Cap Fund, Open ended, S&P BSE 500 - TRI,3,21.07,0.86,16.10,11.75,1000.0,2.25,"1,000.00"
582,ICICI Pru Regular Gold Savings Fund(FOF)(G), FoFs (Domestic / Overseas ) - Gold, Open ended, Gold-India,3,18.1,12.60,10.09,11.50,1000.0,0.53,"1,000.00"
583,ICICI Pru Regular Gold Savings Fund(FOF)(IDCW), FoFs (Domestic / Overseas ) - Gold, Open ended, Gold-India,3,18.1,12.60,10.09,11.50,1000.0,0.53,"1,000.00"
584,Union Small Cap Fund-Reg(G), Equity - Small cap Fund, Open ended, S&P BSE 250 Small Cap - TRI,3,28.74,1.74,22.72,11.42,1000.0,2.52,"1,000.00"
585,Union Small Cap Fund-Reg(IDCW), Equity - Small cap Fund, Open ended, S&P BSE 250 Small Cap - TRI,3,24.96,1.72,22.72,11.41,1000.0,2.52,"1,000.00"
586,ICICI Pru Dividend Yield Equity Fund(G), Equity - Dividend Yield Fund, Open ended, NIFTY 500 - TRI,3,29.68,8.53,23.79,10.25,5000.0,2.3,"1,000.00"
587,ICICI Pru Dividend Yield Equity Fund(IDCW-Payout), Equity - Dividend Yield Fund, Open ended, NIFTY 500 - TRI,3,16.32,8.60,19.99,7.84,5000.0,2.3,"1,000.00"
588,IDFC G-Sec-Invest-Reg(H-IDCW), Debt - Gilt Fund, Open ended, CRISIL Dynamic Gilt Index,3,10.99,3.83,1.34,4.29,1000.0,1.24,"1,000.00"
589,HDFC Credit Risk Debt Fund-(G), Debt - Credit Risk Fund, Open ended, NIFTY Credit Risk Bond Index,3,20.09,5.21,3.71,6.64,1000.0,1.61,"1,000.00"
590,HDFC Credit Risk Debt Fund-(Q-IDCW), Debt - Credit Risk Fund, Open ended, NIFTY Credit Risk Bond Index,3,10.25,5.21,3.71,6.53,1000.0,1.61,"1,000.00"
591,Franklin India Banking & PSU Debt Fund(G), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index,3,18.81,4.62,3.45,4.69,5000.0,0.53,"1,000.00"
592,Franklin India Banking & PSU Debt Fund(IDCW), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index,3,10.28,4.62,3.45,4.25,5000.0,0.53,"1,000.00"
593,Nippon India Arbitrage Fund(M-IDCW), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,3,11.74,4.44,4.08,4.71,5000.0,1.15,"1,000.00"
594,HSBC Arbitrage Fund-Reg(G), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,3,16.13,4.31,4.13,4.86,5000.0,1.02,"1,000.00"
595,HSBC Arbitrage Fund-Reg(M-IDCW Payout), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,3,10.27,3.90,3.96,4.53,5000.0,1.02,"1,000.00"
596,HSBC Arbitrage Fund-Reg(Q-IDCW Payout), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,3,11.08,4.31,4.07,4.59,5000.0,1.02,"1,000.00"
597,UTI Money Market Fund-Reg(M-IDCW), Debt - Money Market Fund, Open ended, CRISIL Money Market Index,3,1039.84,6.19,5.25,4.87,20000.0,0.27,"1,000.00"
598,Tata India Tax Savings Fund-Reg(G), Equity - ELSS, Open ended, NIFTY 500 - TRI,3,29.33,4.74,14.37,10.58,1000.0,2.02,"1,000.00"
599,LIC MF Large & Midcap Fund-Reg(G), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI,3,23.66,-2.26,11.76,9.54,5000.0,2.09,"1,000.00"
600,LIC MF Large & Midcap Fund-Reg(IDCW), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI,3,19.43,-2.27,11.76,9.43,5000.0,2.09,"1,000.00"
601,DSP Small Cap Fund-Reg(IDCW-Reinv), Equity - Small cap Fund, Open ended, S&P BSE 250 Small Cap - TRI,3,43.15,2.85,24.38,10.17,1000.0,1.83,"1,000.00"
602,Axis Equity Saver Fund-Reg(G), Hybrid - Equity Savings, Open ended, NIFTY 50 Equity Savings Index,3,17.04,1.67,7.38,7.68,1000.0,2.22,"1,000.00"
603,Axis Equity Saver Fund-Reg(M-IDCW), Hybrid - Equity Savings, Open ended, NIFTY 50 Equity Savings Index,3,11.28,1.64,7.35,7.34,1000.0,2.22,"1,000.00"
604,Axis Equity Saver Fund-Reg(Q-IDCW), Hybrid - Equity Savings, Open ended, NIFTY 50 Equity Savings Index,3,11.51,1.73,7.39,7.40,1000.0,2.22,"1,000.00"
605,Mahindra Manulife Multi Cap Badhat Yojana-Reg(G), Equity - Multi Cap Fund, Open ended, Nifty500 Multicap 50:25:25 - TRI,3,20.42,-0.60,18.91,13.06,1000.0,2.3,"1,000.00"
606,IDFC Credit Risk Fund-Reg(G), Debt - Credit Risk Fund, Open ended, NIFTY Credit Risk Bond Index,3,14.0,5.03,3.28,4.38,1000.0,1.6,"1,000.00"
607,IDFC Credit Risk Fund-Reg(IDCW), Debt - Credit Risk Fund, Open ended, NIFTY Credit Risk Bond Index,3,10.87,5.03,3.28,2.72,1000.0,1.6,"1,000.00"
608,IDFC Credit Risk Fund-Reg(Q-IDCW), Debt - Credit Risk Fund, Open ended, NIFTY Credit Risk Bond Index,3,10.37,5.03,3.28,4.27,1000.0,1.6,"1,000.00"
609,IDFC Credit Risk Fund-Reg(H-IDCW), Debt - Credit Risk Fund, Open ended, NIFTY Credit Risk Bond Index,3,10.42,5.03,3.28,4.08,1000.0,1.6,"1,000.00"
610,IDFC Credit Risk Fund-Reg(A-IDCW), Debt - Credit Risk Fund, Open ended, NIFTY Credit Risk Bond Index,3,10.42,5.03,3.28,3.72,1000.0,1.6,"1,000.00"
611,Mahindra Manulife Multi Cap Badhat Yojana-Reg(IDCW), Equity - Multi Cap Fund, Open ended, Nifty500 Multicap 50:25:25 - TRI,3,17.22,-0.54,18.97,13.10,1000.0,2.3,"1,000.00"
612,Aditya Birla SL G-Sec Fund(G), Debt - Gilt Fund, Open ended, Nifty All Duration G-Sec Index,2,67.54,4.20,1.92,4.97,1000.0,0.94,"1,000.00"
613,Aditya Birla SL G-Sec Fund(Q-IDCW), Debt - Gilt Fund, Open ended, Nifty All Duration G-Sec Index,2,11.1,4.20,1.92,4.84,1000.0,0.94,"1,000.00"
614,Aditya Birla SL Equity Hybrid '95 Fund(IDCW-Reinv), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,2,146.15,-5.06,10.74,6.33,1000.0,1.85,"1,000.00"
615,Aditya Birla SL Equity Hybrid '95 Fund(G), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,2,1043.65,-5.06,10.81,6.70,1000.0,1.85,"1,000.00"
616,Aditya Birla SL Tax Relief '96(ELSS U/S 80C of IT ACT)(IDCW), Equity - ELSS, Open ended, NIFTY 500 - TRI,2,157.49,-0.65,6.16,4.75,1000.0,1.78,"1,000.00"
617,HSBC Money Market Fund-Reg(G), Debt - Money Market Fund, Open ended, Nifty Money Market Index,2,22.26,5.49,4.39,4.08,5000.0,0.73,"1,000.00"
618,HSBC Money Market Fund-Reg(DD-IDCW), Debt - Money Market Fund, Open ended, Nifty Money Market Index,2,10.86,5.45,4.41,4.00,5000.0,0.73,"1,000.00"
619,HSBC Money Market Fund-Reg(M-IDCW), Debt - Money Market Fund, Open ended, Nifty Money Market Index,2,11.58,5.49,4.39,3.96,5000.0,0.73,"1,000.00"
620,HSBC Money Market Fund-Reg(W-IDCW), Debt - Money Market Fund, Open ended, Nifty Money Market Index,2,13.1,5.49,4.39,3.92,5000.0,0.73,"1,000.00"
621,HSBC Corporate Bond Fund-Reg(G), Debt - Corporate Bond Fund, Open ended, NIFTY Corporate Bond Index,2,60.89,4.77,2.43,5.16,5000.0,0.63,"1,000.00"
622,DSP G-Sec Fund-Reg(IDCW), Debt - Gilt Fund, Open ended, CRISIL Dynamic Gilt Index,2,12.46,4.84,3.14,5.50,1000.0,1.18,"1,000.00"
623,DSP G-Sec Fund-Reg(G), Debt - Gilt Fund, Open ended, CRISIL Dynamic Gilt Index,2,78.71,4.85,3.14,5.31,1000.0,1.18,"1,000.00"
624,DSP Strategic Bond Fund-Reg(M-IDCW Reinv), Debt - Dynamic Bond, Open ended, CRISIL Dynamic Debt Index,2,1061.76,3.83,1.96,4.16,1000.0,Nil,N/A
625,DSP Strategic Bond Fund-Reg(IDCW), Debt - Dynamic Bond, Open ended, CRISIL Dynamic Debt Index,2,1244.91,3.83,1.97,3.67,1000.0,1.12,"1,000.00"
626,DSP Strategic Bond Fund-Reg(G), Debt - Dynamic Bond, Open ended, CRISIL Dynamic Debt Index,2,2756.88,3.83,1.97,4.49,1000.0,1.12,"1,000.00"
627,Quant Liquid Plan(DD-IDCW), Debt - Liquid Fund, Open ended, N/A,2,12.89,4.92,2.31,1.53,5000.0,0.54,"1,000.00"
628,Quant Liquid Plan(G), Debt - Liquid Fund, Open ended, N/A,2,35.24,5.04,4.56,5.56,5000.0,0.54,"1,000.00"
629,Quant Liquid Plan(M-IDCW), Debt - Liquid Fund, Open ended, N/A,2,15.2,4.67,3.06,1.86,5000.0,0.54,"1,000.00"
630,Quant Liquid Plan(W-IDCW), Debt - Liquid Fund, Open ended, N/A,2,13.37,4.12,2.42,1.92,5000.0,0.54,"1,000.00"
631,HSBC Banking and PSU Debt Fund-Reg(G), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index,2,20.43,3.85,1.42,4.38,5000.0,0.61,"1,000.00"
632,HSBC Banking and PSU Debt Fund-Reg(DD-IDCW), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index,2,11.11,3.85,1.42,4.36,5000.0,0.61,"1,000.00"
633,HSBC Banking and PSU Debt Fund-Reg(M-IDCW), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index,2,10.79,3.85,1.42,4.29,5000.0,0.61,"1,000.00"
634,HSBC Banking and PSU Debt Fund-Reg(W-IDCW), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index,2,10.31,3.85,1.42,4.30,5000.0,0.61,"1,000.00"
635,Franklin India Bluechip Fund(IDCW), Equity - Large Cap Fund, Open ended, NIFTY 100 - TRI,2,38.48,-0.27,13.63,8.32,5000.0,1.9,"1,000.00"
636,Franklin India Bluechip Fund(G), Equity - Large Cap Fund, Open ended, NIFTY 100 - TRI,2,694.38,-0.27,13.63,8.77,5000.0,1.9,"1,000.00"
637,Franklin India Equity Advantage Fund(IDCW), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI,2,17.65,-1.13,13.98,8.24,5000.0,2.09,"1,000.00"
638,Franklin India Equity Advantage Fund(G), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI,2,119.85,-1.13,13.98,8.46,5000.0,2.09,"1,000.00"
639,Franklin India Smaller Cos Fund(IDCW), Equity - Small cap Fund, Open ended, Nifty Smallcap 250 - TRI,2,35.39,8.78,23.08,9.25,5000.0,1.9,"1,000.00"
640,Franklin India Smaller Cos Fund(G), Equity - Small cap Fund, Open ended, Nifty Smallcap 250 - TRI,2,96.57,8.78,23.40,9.62,5000.0,1.9,"1,000.00"
641,Franklin India Taxshield(IDCW), Equity - ELSS, Open ended, NIFTY 500 - TRI,2,46.27,3.59,15.53,9.83,1000.0,1.9,"1,000.00"
642,Franklin India Taxshield(G), Equity - ELSS, Open ended, NIFTY 500 - TRI,2,894.41,3.59,15.53,10.25,1000.0,1.9,"1,000.00"
643,IDFC G-Sec-Constant Maturity Plan-Reg(G), Debt - Gilt Fund with 10 year constant duration, Open ended, N/A,2,37.18,5.68,1.88,4.27,1000.0,0.65,"1,000.00"
644,IDFC G-Sec-Constant Maturity Plan-Reg(M-IDCW), Debt - Gilt Fund with 10 year constant duration, Open ended, N/A,2,10.47,5.68,1.88,3.95,1000.0,0.65,"1,000.00"
645,IDFC G-Sec-Constant Maturity Plan-Reg(Q-IDCW), Debt - Gilt Fund with 10 year constant duration, Open ended, N/A,2,11.34,5.69,1.88,3.99,1000.0,0.65,"1,000.00"
646,HDFC Arbitrage-WP(G), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,2,25.91,4.60,3.87,4.65,1000.0,0.95,"1,000.00"
647,HDFC Arbitrage-WP(M-IDCW), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,2,10.86,4.59,3.82,4.36,1000.0,0.95,"1,000.00"
648,HDFC Arbitrage-WP(IDCW), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,2,10.48,4.61,3.82,4.35,1000.0,0.95,"1,000.00"
649,HDFC Capital Builder Value Fund(IDCW), Equity - Value Fund, Open ended, NIFTY 500 - TRI,2,26.94,3.13,15.73,7.85,1000.0,2.06,"1,000.00"
650,HDFC Capital Builder Value Fund(G), Equity - Value Fund, Open ended, NIFTY 500 - TRI,2,446.89,3.11,16.16,8.39,1000.0,2.06,"1,000.00"
651,HDFC Focused 30 Fund(IDCW), Equity - Focused Fund, Open ended, NIFTY 500 - TRI,2,20.04,16.74,20.21,9.50,1000.0,2.19,"1,000.00"
652,HDFC Focused 30 Fund(G), Equity - Focused Fund, Open ended, NIFTY 500 - TRI,2,134.34,16.73,20.65,10.03,1000.0,2.19,"1,000.00"
653,HDFC Medium Term Debt Fund(FN-IDCW), Debt - Medium Duration Fund, Open ended, NIFTY Medium Duration Debt Index,2,10.11,5.02,3.01,5.26,1000.0,1.33,"1,000.00"
654,HDFC Medium Term Debt Fund(G), Debt - Medium Duration Fund, Open ended, NIFTY Medium Duration Debt Index,2,46.99,5.02,3.01,5.32,1000.0,1.33,"1,000.00"
655,HDFC Income Fund(Q-IDCW), Debt - Medium to Long Duration Fund, Open ended, NIFTY Medium to Long Term Debt Index,2,10.96,4.87,1.85,3.19,1000.0,2.06,"1,000.00"
656,HDFC Income Fund(G), Debt - Medium to Long Duration Fund, Open ended, NIFTY Medium to Long Term Debt Index,2,48.55,4.87,1.85,3.37,1000.0,2.06,"1,000.00"
657,HDFC Hybrid Debt Fund(G), Hybrid - Conservative Hybrid Fund, Open ended, NIFTY 50 Hybrid Composite Debt 15:85 Index,2,63.18,5.52,9.38,7.68,1000.0,1.83,"1,000.00"
658,HDFC Hybrid Debt Fund(M-IDCW), Hybrid - Conservative Hybrid Fund, Open ended, NIFTY 50 Hybrid Composite Debt 15:85 Index,2,13.26,5.52,9.19,6.35,1000.0,1.83,"1,000.00"
659,HDFC Hybrid Debt Fund(Q-IDCW), Hybrid - Conservative Hybrid Fund, Open ended, NIFTY 50 Hybrid Composite Debt 15:85 Index,2,14.18,5.52,9.09,6.36,1000.0,1.83,"1,000.00"
660,HDFC TaxSaver(IDCW), Equity - ELSS, Open ended, NIFTY 500 - TRI,2,59.2,12.58,16.52,8.13,1000.0,1.92,"1,000.00"
661,HDFC TaxSaver(G), Equity - ELSS, Open ended, NIFTY 500 - TRI,2,820.26,12.58,17.10,8.73,1000.0,1.92,"1,000.00"
662,HDFC Top 100 Fund(IDCW), Equity - Large Cap Fund, Open ended, NIFTY 100 - TRI,2,51.53,9.64,15.38,9.91,1000.0,1.79,"1,000.00"
663,HDFC Top 100 Fund(G), Equity - Large Cap Fund, Open ended, NIFTY 100 - TRI,2,757.4,9.56,15.92,10.52,1000.0,1.79,"1,000.00"
664,HSBC Liquid Fund(DD-IDCW), Debt - Liquid Fund, Open ended, Nifty Liquid Fund Index,2,1001.38,5.20,4.01,4.39,100000.0,0.22,"1,000.00"
665,HSBC Liquid Fund(G), Debt - Liquid Fund, Open ended, Nifty Liquid Fund Index,2,2207.61,5.21,4.08,5.22,5000.0,0.22,"1,000.00"
666,HSBC Liquid Fund(W-IDCW), Debt - Liquid Fund, Open ended, Nifty Liquid Fund Index,2,1107.81,5.16,3.94,4.35,100000.0,0.22,"1,000.00"
667,HSBC Large Cap Fund(IDCW), Equity - Large Cap Fund, Open ended, NIFTY 100 - TRI,2,37.32,0.44,11.93,9.25,5000.0,2.22,"1,000.00"
668,HSBC Large Cap Fund(G), Equity - Large Cap Fund, Open ended, NIFTY 100 - TRI,2,321.01,0.44,11.93,9.62,5000.0,2.22,"1,000.00"
669,HSBC Flexi Cap Fund-Reg(G), Equity - Flexi Cap Fund, Open ended, NIFTY 500 - TRI,2,130.76,-1.53,12.81,7.97,5000.0,1.98,"1,000.00"
670,ICICI Pru Midcap Fund(IDCW), Equity - Mid Cap Fund, Open ended, Nifty Midcap 150 - TRI,2,27.51,4.36,19.33,9.30,5000.0,2.09,"1,000.00"
671,ICICI Pru Midcap Fund(G), Equity - Mid Cap Fund, Open ended, Nifty Midcap 150 - TRI,2,163.93,4.36,19.33,9.64,5000.0,2.09,"1,000.00"
672,ICICI Pru Regular Savings Fund(G), Hybrid - Conservative Hybrid Fund, Open ended, NIFTY 50 Hybrid Composite Debt 15:85 Index,2,58.21,4.71,8.09,8.24,5000.0,1.74,"1,000.00"
673,ICICI Pru Regular Savings Fund(M-IDCW), Hybrid - Conservative Hybrid Fund, Open ended, NIFTY 50 Hybrid Composite Debt 15:85 Index,2,13.7,4.71,8.61,7.52,5000.0,1.74,"1,000.00"
674,ICICI Pru Medium Term Bond Fund(G), Debt - Medium Duration Fund, Open ended, CRISIL Medium Term Debt Index,2,37.22,5.53,4.42,6.08,5000.0,1.41,"1,000.00"
675,JM Liquid Fund(DD-IDCW), Debt - Liquid Fund, Open ended, N/A,2,10.43,5.19,4.02,4.38,5000.0,0.25,"1,000.00"
676,JM Liquid Fund(W-IDCW), Debt - Liquid Fund, Open ended, N/A,2,11.01,5.20,4.01,4.38,5000.0,0.25,"1,000.00"
677,JM Liquid Fund(G), Debt - Liquid Fund, Open ended, N/A,2,60.53,5.20,4.08,5.20,5000.0,0.25,"1,000.00"
